Title,Genres,Actors,Directors,Synopsis,Rating
Inside Out 2,"Animation, Adventure, Comedy, Family","Amy Poehler, Maya Hawke, Kensington Tallman",Kelsey Mann,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",7.557
Dog Man,"Family, Comedy, Adventure, Animation","Peter Hastings, Pete Davidson, Lil Rel Howery",Peter Hastings,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",7.8
My Fault,"Romance, Drama","Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.823
Clawfoot,Thriller,"Francesca Eastwood, Milo Gibson, Olivia Culpo",Michael Day,An upper-class suburban housewife is psychologically terrorized by a manipulative contractor remodeling her bathroom... until the tables are turned and a twisted battle of wits ensues with deliciously unexpected results.,4.909
xXx,"Action, Adventure, Thriller, Crime","Vin Diesel, Asia Argento, Marton Csokas",Rob Cohen,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.938
The Amateur,"Thriller, Action","Rami Malek, Michael Stuhlbarg, Laurence Fishburne",James Hawes,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",7.4
Henry Danger: The Movie,"Action, Comedy, Family, Science Fiction","Jace Norman, Sean Ryan Fox, Ella Anderson",Joe Menendez,"Henry Hart meets a superfan—eager to fight crime with Kid Danger—who comes into possession of a device that can open up alternate realities. Facing a wild ride, Henry will need his best friend Jasper and his new superfan sidekick to find his way out or be stuck in another dimension forever.",7.775
Minecraft: Into the Nether,Documentary,Alastair Aiken,Billy Simpson,"Minecraft. The game that took the world by storm. Follow the story of how the Minecraft phenomenon has ploughed through the 21st century selling over 54 million copies worldwide on a multitude of platforms engaging an audience in the millions which is still continuing to grow. The game boasts the biggest digital world in gaming history with a fan base stretching to every corner of the globe. Youtube viewing numbers have grown and online participation has tripled over the last few years creating a new industry for enthusiastic gamers. Vast communities have been brought together through it's educational impact, YouTube celebrities, festivals and game events pushing the boundaries of technology and creativity to the limits.",7.9
The Electric State,"Science Fiction, Adventure, Action","Millie Bobby Brown, Chris Pratt, Ke Huy Quan","Joe Russo, Anthony Russo","An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",6.6
The Substance,"Horror, Science Fiction","Demi Moore, Margaret Qualley, Dennis Quaid",Coralie Fargeat,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",7.138
Anora,"Drama, Comedy, Romance","Mikey Madison, Mark Eydelshteyn, Yura Borisov",Sean Baker,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",7.1
The Shawshank Redemption,"Drama, Crime","Morgan Freeman, Tim Robbins, Bob Gunton",Frank Darabont,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.707
Alarum,"Action, Crime, Thriller","Scott Eastwood, Sylvester Stallone, Willa Fitzgerald",Michael Polish,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.",5.827
The Godfather,"Drama, Crime","Marlon Brando, Al Pacino, James Caan",Francis Ford Coppola,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.686
Interstellar,"Adventure, Drama, Science Fiction","Matthew McConaughey, Anne Hathaway, Michael Caine",Christopher Nolan,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.453
Red One,"Action, Comedy, Fantasy","Dwayne Johnson, Chris Evans, Lucy Liu",Jake Kasdan,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",7.058
From Good to the Hood,Comedy,"Quim Gutiérrez, Sara Sálamo, María de Nati",Mar Olid,"Cheating the tax man was just too tempting for Andrés. Besides, what are the chances of him getting caught? Well, as it turns out, pretty high! And that’s exactly what happens when a couple of tax inspectors turn up at his company to inform him that he owes the IRS a lot of money.",6.0
